date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHCHI,38.9,,,,37.1,37.1
2022-01-02,KXHIGHCHI,27.9,,,,28.7,27.6
2022-01-03,KXHIGHCHI,19.6,,,,27.1,21.2
2022-01-04,KXHIGHCHI,31.7,,,,35.2,31.1
2022-01-05,KXHIGHCHI,31.3,,,,35.1,30.8
2022-01-06,KXHIGHCHI,14.8,,,,18.0,13.9
2022-01-07,KXHIGHCHI,14.6,,,,15.7,14.0
2022-01-08,KXHIGHCHI,31.6,,,,34.2,32.0
2022-01-09,KXHIGHCHI,32.2,,,,34.8,32.4
2022-01-10,KXHIGHCHI,14.3,,,,17.2,15.8
2022-01-11,KXHIGHCHI,34.5,,,,37.6,32.2
2022-01-12,KXHIGHCHI,36.6,,,,38.0,39.2
2022-01-13,KXHIGHCHI,36.3,,,,36.5,36.5
2022-01-14,KXHIGHCHI,33.6,,,,35.7,33.8
2022-01-15,KXHIGHCHI,24.6,,,,26.7,24.3
2022-01-16,KXHIGHCHI,25.8,,,,26.7,25.4
2022-01-17,KXHIGHCHI,27.4,,,,28.1,27.2
2022-01-18,KXHIGHCHI,38.9,,,,40.3,39.7
2022-01-19,KXHIGHCHI,38.3,,,,40.3,38.9
2022-01-20,KXHIGHCHI,16.1,,,,18.3,17.6
2022-01-21,KXHIGHCHI,22.7,,,,24.0,23.1
2022-01-22,KXHIGHCHI,29.6,,,,30.5,30.3
2022-01-23,KXHIGHCHI,22.1,,,,25.9,22.3
2022-01-24,KXHIGHCHI,25.2,,,,24.9,25.0
2022-01-25,KXHIGHCHI,11.6,,,,18.9,12.3
2022-01-26,KXHIGHCHI,10.3,,,,17.5,9.2
2022-01-27,KXHIGHCHI,29.8,,,,32.2,29.1
2022-01-28,KXHIGHCHI,24.1,,,,28.9,26.7
2022-01-29,KXHIGHCHI,19.1,,,,25.3,19.8
2022-01-30,KXHIGHCHI,28.4,,,,29.5,28.2
2022-01-31,KXHIGHCHI,30.1,,,,31.9,31.0
2022-02-01,KXHIGHCHI,41.5,,,,42.0,44.7
2022-02-02,KXHIGHCHI,30.9,,,,33.0,33.3
2022-02-03,KXHIGHCHI,24.5,,,,24.2,24.0
2022-02-04,KXHIGHCHI,22.8,,,,22.1,24.9
2022-02-05,KXHIGHCHI,16.9,,,,19.3,18.0
2022-02-06,KXHIGHCHI,30.8,,,,30.2,32.3
2022-02-07,KXHIGHCHI,29.1,,,,29.5,29.1
2022-02-08,KXHIGHCHI,35.5,,,,37.4,37.2
2022-02-09,KXHIGHCHI,37.9,,,,37.6,39.9
2022-02-10,KXHIGHCHI,31.5,,,,32.6,32.8
2022-02-11,KXHIGHCHI,40.1,,,,41.1,42.0
2022-02-12,KXHIGHCHI,27.0,,,,28.9,29.0
2022-02-13,KXHIGHCHI,16.9,,,,15.9,17.5
2022-02-14,KXHIGHCHI,23.6,,,,22.9,24.2
2022-02-15,KXHIGHCHI,37.1,,,,39.0,36.4
2022-02-16,KXHIGHCHI,50.7,,,,48.3,52.6
2022-02-17,KXHIGHCHI,37.1,,,,37.2,47.6
2022-02-18,KXHIGHCHI,28.0,,,,31.2,27.5
2022-02-19,KXHIGHCHI,27.0,,,,30.3,28.1
2022-02-20,KXHIGHCHI,43.1,,,,42.6,46.3
2022-02-21,KXHIGHCHI,41.5,,,,43.5,45.2
2022-02-22,KXHIGHCHI,45.6,,,,43.8,44.7
2022-02-23,KXHIGHCHI,24.2,,,,24.3,25.2
2022-02-24,KXHIGHCHI,25.9,,,,25.1,25.8
2022-02-25,KXHIGHCHI,26.9,,,,26.0,27.0
2022-02-26,KXHIGHCHI,28.7,,,,30.1,30.8
2022-02-27,KXHIGHCHI,36.6,,,,34.9,42.0
2022-02-28,KXHIGHCHI,46.2,,,,40.0,51.5
2022-03-01,KXHIGHCHI,45.9,,,,39.7,45.3
2022-03-02,KXHIGHCHI,50.2,,,,37.6,57.3
2022-03-03,KXHIGHCHI,34.4,,,,33.3,33.1
2022-03-04,KXHIGHCHI,38.4,,,,35.1,36.2
2022-03-05,KXHIGHCHI,65.1,,,,53.9,67.6
2022-03-06,KXHIGHCHI,60.0,,,,53.2,60.0
2022-03-07,KXHIGHCHI,36.7,,,,35.0,35.7
2022-03-08,KXHIGHCHI,37.2,,,,33.6,37.4
2022-03-09,KXHIGHCHI,40.8,,,,35.7,41.5
2022-03-10,KXHIGHCHI,31.5,,,,29.5,29.2
2022-03-11,KXHIGHCHI,30.4,,,,28.5,31.0
2022-03-12,KXHIGHCHI,21.8,,,,21.8,21.8
2022-03-13,KXHIGHCHI,46.4,,,,39.8,49.6
2022-03-14,KXHIGHCHI,57.9,,,,47.8,62.7
2022-03-15,KXHIGHCHI,47.7,,,,35.5,42.7
2022-03-16,KXHIGHCHI,64.6,,,,53.7,67.9
2022-03-17,KXHIGHCHI,63.0,,,,51.5,66.4
2022-03-18,KXHIGHCHI,43.8,,,,39.4,43.2
2022-03-19,KXHIGHCHI,38.8,,,,40.2,40.5
2022-03-20,KXHIGHCHI,56.9,,,,47.7,55.4
2022-03-21,KXHIGHCHI,68.6,,,,56.9,74.5
2022-03-22,KXHIGHCHI,55.8,,,,49.2,49.3
2022-03-23,KXHIGHCHI,54.9,,,,48.0,53.6
