date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHLAX,60.0,,,,58.1,60.6
2022-01-02,KXHIGHLAX,62.9,,,,59.8,64.9
2022-01-03,KXHIGHLAX,61.9,,,,58.0,64.0
2022-01-04,KXHIGHLAX,61.4,,,,56.4,63.7
2022-01-05,KXHIGHLAX,67.2,,,,63.3,71.2
2022-01-06,KXHIGHLAX,70.2,,,,64.4,75.2
2022-01-07,KXHIGHLAX,61.8,,,,56.9,58.4
2022-01-08,KXHIGHLAX,62.3,,,,57.9,64.0
2022-01-09,KXHIGHLAX,71.2,,,,67.0,76.1
2022-01-10,KXHIGHLAX,71.6,,,,68.4,73.9
2022-01-11,KXHIGHLAX,76.4,,,,72.0,79.0
2022-01-12,KXHIGHLAX,74.6,,,,70.3,79.1
2022-01-13,KXHIGHLAX,68.3,,,,66.3,69.6
2022-01-14,KXHIGHLAX,72.6,,,,66.8,77.2
2022-01-15,KXHIGHLAX,65.0,,,,66.6,70.2
2022-01-16,KXHIGHLAX,72.8,,,,68.9,75.5
2022-01-17,KXHIGHLAX,62.8,,,,60.0,64.8
2022-01-18,KXHIGHLAX,64.6,,,,58.7,65.4
2022-01-19,KXHIGHLAX,64.5,,,,60.5,64.6
2022-01-20,KXHIGHLAX,74.1,,,,67.3,75.9
2022-01-21,KXHIGHLAX,72.8,,,,67.9,72.0
2022-01-22,KXHIGHLAX,70.4,,,,66.5,73.1
2022-01-23,KXHIGHLAX,73.4,,,,67.5,75.5
2022-01-24,KXHIGHLAX,70.5,,,,63.4,73.6
2022-01-25,KXHIGHLAX,67.1,,,,61.6,68.6
2022-01-26,KXHIGHLAX,69.0,,,,64.7,71.9
2022-01-27,KXHIGHLAX,70.5,,,,66.3,72.8
2022-01-28,KXHIGHLAX,72.2,,,,70.3,73.6
2022-01-29,KXHIGHLAX,69.2,,,,66.7,68.7
2022-01-30,KXHIGHLAX,70.9,,,,63.3,72.4
2022-01-31,KXHIGHLAX,63.0,,,,59.3,63.3
2022-02-01,KXHIGHLAX,62.7,,,,56.9,64.2
2022-02-02,KXHIGHLAX,65.0,,,,61.0,68.0
2022-02-03,KXHIGHLAX,66.3,,,,63.1,67.9
2022-02-04,KXHIGHLAX,69.1,,,,66.6,70.6
2022-02-05,KXHIGHLAX,71.0,,,,67.9,71.9
2022-02-06,KXHIGHLAX,76.2,,,,74.2,78.2
2022-02-07,KXHIGHLAX,77.1,,,,73.3,79.0
2022-02-08,KXHIGHLAX,78.1,,,,74.5,81.6
2022-02-09,KXHIGHLAX,84.1,,,,81.0,87.6
2022-02-10,KXHIGHLAX,84.0,,,,81.6,87.4
2022-02-11,KXHIGHLAX,82.6,,,,77.1,84.3
2022-02-12,KXHIGHLAX,86.4,,,,83.0,89.9
2022-02-13,KXHIGHLAX,85.2,,,,81.1,88.1
2022-02-14,KXHIGHLAX,76.9,,,,70.5,80.7
2022-02-15,KXHIGHLAX,59.3,,,,53.5,60.3
