date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHPHIL,53.8,,,,56.6,55.9
2022-01-02,KXHIGHPHIL,60.4,,,,61.3,60.6
2022-01-03,KXHIGHPHIL,38.9,,,,40.7,38.2
2022-01-04,KXHIGHPHIL,32.2,,,,31.0,35.5
2022-01-05,KXHIGHPHIL,40.9,,,,48.3,44.9
2022-01-06,KXHIGHPHIL,41.3,,,,42.2,39.8
2022-01-07,KXHIGHPHIL,34.6,,,,33.4,33.3
2022-01-08,KXHIGHPHIL,29.6,,,,27.7,34.2
2022-01-09,KXHIGHPHIL,38.5,,,,40.9,41.6
2022-01-10,KXHIGHPHIL,39.5,,,,40.4,41.0
2022-01-11,KXHIGHPHIL,26.5,,,,25.6,25.7
2022-01-12,KXHIGHPHIL,39.1,,,,37.2,42.7
2022-01-13,KXHIGHPHIL,41.1,,,,38.9,47.9
2022-01-14,KXHIGHPHIL,44.4,,,,42.0,47.2
2022-01-15,KXHIGHPHIL,26.8,,,,24.3,24.7
2022-01-16,KXHIGHPHIL,39.2,,,,40.6,37.0
2022-01-17,KXHIGHPHIL,48.4,,,,46.1,47.9
2022-01-18,KXHIGHPHIL,37.9,,,,37.3,38.0
2022-01-19,KXHIGHPHIL,48.3,,,,44.5,50.1
2022-01-20,KXHIGHPHIL,43.7,,,,42.3,43.9
2022-01-21,KXHIGHPHIL,25.6,,,,24.0,24.6
2022-01-22,KXHIGHPHIL,29.0,,,,25.8,31.8
2022-01-23,KXHIGHPHIL,36.1,,,,33.2,38.0
2022-01-24,KXHIGHPHIL,33.5,,,,32.2,34.9
2022-01-25,KXHIGHPHIL,41.3,,,,38.9,42.5
2022-01-26,KXHIGHPHIL,29.8,,,,30.0,30.4
2022-01-27,KXHIGHPHIL,31.5,,,,29.3,33.8
2022-01-28,KXHIGHPHIL,32.7,,,,32.0,33.7
2022-01-29,KXHIGHPHIL,29.9,,,,30.1,29.8
2022-01-30,KXHIGHPHIL,23.2,,,,21.7,25.0
2022-01-31,KXHIGHPHIL,29.3,,,,28.6,33.2
2022-02-01,KXHIGHPHIL,34.0,,,,32.5,38.0
2022-02-02,KXHIGHPHIL,39.3,,,,38.9,43.3
2022-02-03,KXHIGHPHIL,50.0,,,,52.0,49.5
2022-02-04,KXHIGHPHIL,56.6,,,,57.6,55.7
2022-02-05,KXHIGHPHIL,29.9,,,,30.4,30.0
2022-02-06,KXHIGHPHIL,33.7,,,,29.5,36.1
2022-02-07,KXHIGHPHIL,34.5,,,,37.0,37.5
2022-02-08,KXHIGHPHIL,40.3,,,,42.1,41.7
2022-02-09,KXHIGHPHIL,49.8,,,,44.8,52.2
2022-02-10,KXHIGHPHIL,54.4,,,,53.4,55.6
2022-02-11,KXHIGHPHIL,59.0,,,,57.3,61.2
2022-02-12,KXHIGHPHIL,55.9,,,,54.5,58.6
2022-02-13,KXHIGHPHIL,44.5,,,,42.2,43.3
2022-02-14,KXHIGHPHIL,28.0,,,,27.8,27.9
2022-02-15,KXHIGHPHIL,30.4,,,,27.4,32.5
2022-02-16,KXHIGHPHIL,45.0,,,,44.8,51.0
2022-02-17,KXHIGHPHIL,63.9,,,,62.3,67.4
2022-02-18,KXHIGHPHIL,62.9,,,,62.2,63.1
2022-02-19,KXHIGHPHIL,44.3,,,,40.0,41.2
2022-02-20,KXHIGHPHIL,36.5,,,,33.3,38.7
2022-02-21,KXHIGHPHIL,56.7,,,,50.3,59.7
2022-02-22,KXHIGHPHIL,61.4,,,,63.3,61.2
2022-02-23,KXHIGHPHIL,66.7,,,,67.4,70.5
2022-02-24,KXHIGHPHIL,41.5,,,,42.0,42.5
2022-02-25,KXHIGHPHIL,40.7,,,,44.4,46.6
2022-02-26,KXHIGHPHIL,39.3,,,,35.6,38.2
2022-02-27,KXHIGHPHIL,49.8,,,,46.2,50.8
2022-02-28,KXHIGHPHIL,39.2,,,,39.3,40.7
2022-03-01,KXHIGHPHIL,50.9,,,,49.5,51.3
2022-03-02,KXHIGHPHIL,53.8,,,,49.8,56.3
2022-03-03,KXHIGHPHIL,48.2,,,,45.8,49.2
2022-03-04,KXHIGHPHIL,40.0,,,,36.7,39.9
2022-03-05,KXHIGHPHIL,51.4,,,,48.5,53.7
2022-03-06,KXHIGHPHIL,67.8,,,,67.7,67.8
2022-03-07,KXHIGHPHIL,74.6,,,,74.7,75.2
2022-03-08,KXHIGHPHIL,52.6,,,,55.2,56.4
2022-03-09,KXHIGHPHIL,43.9,,,,41.4,42.2
2022-03-10,KXHIGHPHIL,51.8,,,,48.8,50.7
2022-03-11,KXHIGHPHIL,58.4,,,,53.0,59.4
2022-03-12,KXHIGHPHIL,47.5,,,,45.4,47.7
2022-03-13,KXHIGHPHIL,33.1,,,,34.4,35.4
2022-03-14,KXHIGHPHIL,57.0,,,,52.0,60.0
2022-03-15,KXHIGHPHIL,66.4,,,,60.6,68.6
2022-03-16,KXHIGHPHIL,69.8,,,,63.9,71.1
2022-03-17,KXHIGHPHIL,57.5,,,,56.5,55.5
2022-03-18,KXHIGHPHIL,73.2,,,,66.0,72.5
2022-03-19,KXHIGHPHIL,75.4,,,,71.3,74.6
2022-03-20,KXHIGHPHIL,61.2,,,,62.1,59.4
2022-03-21,KXHIGHPHIL,63.3,,,,60.2,65.7
2022-03-22,KXHIGHPHIL,59.7,,,,56.4,61.5
2022-03-23,KXHIGHPHIL,53.2,,,,53.3,51.6
2022-03-24,KXHIGHPHIL,48.3,,,,48.8,47.6
2022-03-25,KXHIGHPHIL,59.5,,,,58.8,57.6
2022-03-26,KXHIGHPHIL,52.0,,,,50.9,52.8
2022-03-27,KXHIGHPHIL,43.7,,,,43.1,44.8
2022-03-28,KXHIGHPHIL,32.2,,,,35.5,32.7
2022-03-29,KXHIGHPHIL,40.1,,,,38.1,42.4
2022-03-30,KXHIGHPHIL,47.6,,,,45.1,48.0
2022-03-31,KXHIGHPHIL,67.6,,,,71.9,70.6
2022-04-01,KXHIGHPHIL,62.6,,,,63.8,63.9
2022-04-02,KXHIGHPHIL,53.6,,,,50.2,55.8
2022-04-03,KXHIGHPHIL,50.9,,,,50.5,52.4
2022-04-04,KXHIGHPHIL,53.0,,,,52.1,54.9
2022-04-05,KXHIGHPHIL,56.5,,,,58.9,56.7
2022-04-06,KXHIGHPHIL,56.3,,,,54.1,55.1
2022-04-07,KXHIGHPHIL,55.6,,,,55.7,56.4
2022-04-08,KXHIGHPHIL,62.8,,,,58.7,64.8
2022-04-09,KXHIGHPHIL,55.4,,,,53.4,56.3
2022-04-10,KXHIGHPHIL,51.1,,,,50.3,52.0
2022-04-11,KXHIGHPHIL,62.9,,,,57.0,63.3
2022-04-12,KXHIGHPHIL,71.0,,,,67.8,74.8
2022-04-13,KXHIGHPHIL,80.9,,,,76.3,82.3
2022-04-14,KXHIGHPHIL,84.7,,,,79.7,84.6
2022-04-15,KXHIGHPHIL,69.4,,,,66.7,70.3
2022-04-16,KXHIGHPHIL,74.5,,,,71.1,76.3
2022-04-17,KXHIGHPHIL,52.0,,,,52.1,51.7
2022-04-18,KXHIGHPHIL,51.4,,,,50.9,49.7
2022-04-19,KXHIGHPHIL,51.1,,,,51.4,49.2
2022-04-20,KXHIGHPHIL,58.4,,,,54.8,60.6
2022-04-21,KXHIGHPHIL,64.2,,,,61.5,64.1
2022-04-22,KXHIGHPHIL,69.2,,,,67.2,72.0
2022-04-23,KXHIGHPHIL,68.9,,,,62.2,67.3
2022-04-24,KXHIGHPHIL,73.2,,,,67.4,71.4
2022-04-25,KXHIGHPHIL,68.0,,,,63.1,61.1
2022-04-26,KXHIGHPHIL,66.9,,,,65.0,71.3
2022-04-27,KXHIGHPHIL,56.1,,,,58.6,58.9
2022-04-28,KXHIGHPHIL,56.5,,,,54.7,59.3
2022-04-29,KXHIGHPHIL,62.0,,,,60.8,65.0
2022-04-30,KXHIGHPHIL,66.7,,,,63.0,70.1
2022-05-01,KXHIGHPHIL,73.4,,,,68.8,72.9
2022-05-02,KXHIGHPHIL,72.1,,,,64.0,72.9
2022-05-03,KXHIGHPHIL,73.9,,,,63.5,72.8
2022-05-04,KXHIGHPHIL,69.6,,,,65.6,65.4
2022-05-05,KXHIGHPHIL,74.1,,,,68.3,74.2
2022-05-06,KXHIGHPHIL,61.3,,,,59.1,59.4
2022-05-07,KXHIGHPHIL,50.3,,,,50.5,51.2
2022-05-08,KXHIGHPHIL,53.2,,,,55.3,59.9
2022-05-09,KXHIGHPHIL,68.9,,,,65.4,73.1
2022-05-10,KXHIGHPHIL,71.8,,,,68.1,74.3
2022-05-11,KXHIGHPHIL,71.6,,,,65.3,72.5
