date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHTATL,74.6,,,,72.1,73.9
2022-01-02,KXHIGHTATL,70.0,,,,69.4,70.5
2022-01-03,KXHIGHTATL,54.4,,,,49.3,55.6
2022-01-04,KXHIGHTATL,48.8,,,,46.3,48.8
2022-01-05,KXHIGHTATL,54.7,,,,53.3,54.6
2022-01-06,KXHIGHTATL,58.9,,,,53.2,59.2
2022-01-07,KXHIGHTATL,39.0,,,,35.8,38.6
2022-01-08,KXHIGHTATL,49.0,,,,45.4,50.6
2022-01-09,KXHIGHTATL,61.6,,,,59.8,60.6
2022-01-10,KXHIGHTATL,50.2,,,,51.5,52.7
2022-01-11,KXHIGHTATL,48.3,,,,44.3,50.2
2022-01-12,KXHIGHTATL,52.8,,,,49.1,54.9
2022-01-13,KXHIGHTATL,57.2,,,,54.5,57.7
2022-01-14,KXHIGHTATL,52.5,,,,49.8,53.7
2022-01-15,KXHIGHTATL,48.1,,,,48.2,47.1
2022-01-16,KXHIGHTATL,40.6,,,,41.1,39.2
2022-01-17,KXHIGHTATL,36.1,,,,37.1,35.1
2022-01-18,KXHIGHTATL,51.8,,,,44.9,52.8
2022-01-19,KXHIGHTATL,58.8,,,,54.3,61.6
2022-01-20,KXHIGHTATL,52.2,,,,50.3,51.5
2022-01-21,KXHIGHTATL,37.5,,,,41.0,36.4
2022-01-22,KXHIGHTATL,44.8,,,,38.9,43.5
2022-01-23,KXHIGHTATL,48.4,,,,42.7,49.3
2022-01-24,KXHIGHTATL,56.4,,,,52.1,58.1
2022-01-25,KXHIGHTATL,59.1,,,,55.7,59.4
2022-01-26,KXHIGHTATL,51.8,,,,45.9,51.0
2022-01-27,KXHIGHTATL,50.9,,,,46.6,51.5
2022-01-28,KXHIGHTATL,49.8,,,,46.6,48.3
2022-01-29,KXHIGHTATL,34.6,,,,32.0,35.7
2022-01-30,KXHIGHTATL,54.4,,,,48.9,56.3
2022-01-31,KXHIGHTATL,52.9,,,,51.7,56.7
2022-02-01,KXHIGHTATL,57.3,,,,53.5,58.7
2022-02-02,KXHIGHTATL,55.7,,,,53.2,56.2
2022-02-03,KXHIGHTATL,64.3,,,,64.1,63.9
2022-02-04,KXHIGHTATL,63.7,,,,63.4,62.6
2022-02-05,KXHIGHTATL,46.1,,,,39.7,45.1
2022-02-06,KXHIGHTATL,48.9,,,,44.9,49.6
2022-02-07,KXHIGHTATL,49.3,,,,50.3,49.7
2022-02-08,KXHIGHTATL,53.4,,,,50.7,54.5
2022-02-09,KXHIGHTATL,59.6,,,,56.6,61.4
2022-02-10,KXHIGHTATL,64.3,,,,61.3,65.8
2022-02-11,KXHIGHTATL,65.9,,,,64.3,67.2
2022-02-12,KXHIGHTATL,67.0,,,,61.5,68.5
2022-02-13,KXHIGHTATL,48.4,,,,47.7,47.9
2022-02-14,KXHIGHTATL,53.6,,,,49.0,55.3
2022-02-15,KXHIGHTATL,60.3,,,,57.2,61.8
2022-02-16,KXHIGHTATL,65.4,,,,60.3,67.9
2022-02-17,KXHIGHTATL,71.2,,,,67.6,69.1
2022-02-18,KXHIGHTATL,66.9,,,,64.2,64.8
2022-02-19,KXHIGHTATL,54.7,,,,50.1,55.7
2022-02-20,KXHIGHTATL,58.6,,,,54.2,59.9
2022-02-21,KXHIGHTATL,58.8,,,,58.1,57.7
2022-02-22,KXHIGHTATL,73.1,,,,67.1,69.8
2022-02-23,KXHIGHTATL,74.5,,,,69.2,73.3
2022-02-24,KXHIGHTATL,76.8,,,,70.8,74.1
2022-02-25,KXHIGHTATL,65.3,,,,65.5,64.4
2022-02-26,KXHIGHTATL,65.6,,,,56.2,63.3
2022-02-27,KXHIGHTATL,55.6,,,,51.3,50.8
2022-02-28,KXHIGHTATL,62.8,,,,58.1,63.1
2022-03-01,KXHIGHTATL,66.9,,,,62.3,68.0
2022-03-02,KXHIGHTATL,74.8,,,,69.5,76.9
2022-03-03,KXHIGHTATL,77.7,,,,71.9,79.4
2022-03-04,KXHIGHTATL,74.7,,,,68.8,75.6
2022-03-05,KXHIGHTATL,74.8,,,,67.6,76.8
2022-03-06,KXHIGHTATL,74.4,,,,73.0,78.5
2022-03-07,KXHIGHTATL,75.9,,,,69.9,71.0
2022-03-08,KXHIGHTATL,57.4,,,,55.3,55.4
2022-03-09,KXHIGHTATL,57.2,,,,54.6,55.1
2022-03-10,KXHIGHTATL,66.2,,,,60.7,62.3
2022-03-11,KXHIGHTATL,58.1,,,,57.9,57.4
2022-03-12,KXHIGHTATL,54.5,,,,57.9,53.1
2022-03-13,KXHIGHTATL,52.9,,,,48.0,55.0
2022-03-14,KXHIGHTATL,63.5,,,,60.1,64.9
2022-03-15,KXHIGHTATL,64.2,,,,62.3,66.1
2022-03-16,KXHIGHTATL,57.5,,,,59.0,59.9
2022-03-17,KXHIGHTATL,72.9,,,,65.2,71.2
2022-03-18,KXHIGHTATL,61.9,,,,64.4,58.3
