date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHTHOU,82.4,,,,77.4,80.6
2022-01-02,KXHIGHTHOU,71.6,,,,67.0,72.3
2022-01-03,KXHIGHTHOU,53.4,,,,47.9,50.5
2022-01-04,KXHIGHTHOU,64.5,,,,60.7,62.4
2022-01-05,KXHIGHTHOU,75.7,,,,69.3,71.7
2022-01-06,KXHIGHTHOU,69.8,,,,65.2,67.1
2022-01-07,KXHIGHTHOU,55.6,,,,51.5,49.6
2022-01-08,KXHIGHTHOU,77.4,,,,72.2,73.8
2022-01-09,KXHIGHTHOU,72.4,,,,74.3,74.0
2022-01-10,KXHIGHTHOU,59.7,,,,57.6,56.6
2022-01-11,KXHIGHTHOU,57.4,,,,54.9,54.4
2022-01-12,KXHIGHTHOU,61.4,,,,59.0,58.9
2022-01-13,KXHIGHTHOU,70.9,,,,64.9,67.2
2022-01-14,KXHIGHTHOU,73.5,,,,69.8,69.9
2022-01-15,KXHIGHTHOU,63.0,,,,61.6,60.0
2022-01-16,KXHIGHTHOU,55.6,,,,49.8,53.0
2022-01-17,KXHIGHTHOU,65.8,,,,60.6,63.0
2022-01-18,KXHIGHTHOU,71.2,,,,69.6,69.0
2022-01-19,KXHIGHTHOU,77.2,,,,71.6,75.3
2022-01-20,KXHIGHTHOU,59.8,,,,59.2,57.0
2022-01-21,KXHIGHTHOU,50.7,,,,46.4,47.4
2022-01-22,KXHIGHTHOU,54.0,,,,49.9,51.3
2022-01-23,KXHIGHTHOU,58.1,,,,54.0,56.3
2022-01-24,KXHIGHTHOU,53.9,,,,50.3,51.6
2022-01-25,KXHIGHTHOU,59.2,,,,56.6,57.4
2022-01-26,KXHIGHTHOU,56.5,,,,53.9,54.7
2022-01-27,KXHIGHTHOU,62.0,,,,58.1,59.7
2022-01-28,KXHIGHTHOU,58.1,,,,53.7,54.5
2022-01-29,KXHIGHTHOU,61.5,,,,58.6,59.6
2022-01-30,KXHIGHTHOU,67.7,,,,62.4,65.1
2022-01-31,KXHIGHTHOU,67.0,,,,63.0,62.3
