date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHTMIN,0.0,,,,2.5,1.7
2022-01-02,KXHIGHTMIN,3.2,,,,8.7,4.1
2022-01-03,KXHIGHTMIN,25.1,,,,26.7,25.4
2022-01-04,KXHIGHTMIN,32.1,,,,34.6,31.2
2022-01-05,KXHIGHTMIN,23.0,,,,22.6,22.5
2022-01-06,KXHIGHTMIN,4.0,,,,4.5,3.8
2022-01-07,KXHIGHTMIN,8.8,,,,8.0,9.9
2022-01-08,KXHIGHTMIN,26.1,,,,28.3,28.3
2022-01-09,KXHIGHTMIN,5.9,,,,8.6,10.1
2022-01-10,KXHIGHTMIN,0.8,,,,2.0,3.9
2022-01-11,KXHIGHTMIN,33.2,,,,37.8,34.8
2022-01-12,KXHIGHTMIN,32.0,,,,35.1,37.8
2022-01-13,KXHIGHTMIN,32.0,,,,34.1,34.4
2022-01-14,KXHIGHTMIN,25.4,,,,21.9,27.0
2022-01-15,KXHIGHTMIN,13.5,,,,10.1,17.1
2022-01-16,KXHIGHTMIN,27.4,,,,31.0,26.7
2022-01-17,KXHIGHTMIN,28.7,,,,27.0,29.3
2022-01-18,KXHIGHTMIN,36.5,,,,38.7,41.6
2022-01-19,KXHIGHTMIN,10.3,,,,14.4,12.3
2022-01-20,KXHIGHTMIN,2.2,,,,-2.1,4.8
2022-01-21,KXHIGHTMIN,18.0,,,,22.6,18.2
2022-01-22,KXHIGHTMIN,25.0,,,,24.2,23.3
2022-01-23,KXHIGHTMIN,8.4,,,,11.1,7.0
2022-01-24,KXHIGHTMIN,10.7,,,,12.4,11.8
2022-01-25,KXHIGHTMIN,0.0,,,,0.7,4.2
2022-01-26,KXHIGHTMIN,25.2,,,,29.1,25.6
2022-01-27,KXHIGHTMIN,27.9,,,,31.7,32.0
2022-01-28,KXHIGHTMIN,10.5,,,,12.0,13.8
2022-01-29,KXHIGHTMIN,25.0,,,,25.4,28.4
2022-01-30,KXHIGHTMIN,19.2,,,,20.8,24.0
2022-01-31,KXHIGHTMIN,26.1,,,,33.5,28.5
2022-02-01,KXHIGHTMIN,35.9,,,,37.2,32.9
2022-02-02,KXHIGHTMIN,4.1,,,,5.8,8.3
2022-02-03,KXHIGHTMIN,3.9,,,,-3.4,5.4
2022-02-04,KXHIGHTMIN,8.0,,,,5.9,9.7
2022-02-05,KXHIGHTMIN,22.1,,,,26.1,22.6
2022-02-06,KXHIGHTMIN,20.7,,,,24.5,23.9
2022-02-07,KXHIGHTMIN,18.5,,,,17.3,20.4
2022-02-08,KXHIGHTMIN,34.7,,,,42.5,38.4
2022-02-09,KXHIGHTMIN,33.5,,,,38.1,36.7
2022-02-10,KXHIGHTMIN,38.9,,,,40.6,39.3
2022-02-11,KXHIGHTMIN,36.7,,,,42.1,38.1
2022-02-12,KXHIGHTMIN,5.9,,,,2.3,5.1
2022-02-13,KXHIGHTMIN,6.4,,,,7.7,8.0
2022-02-14,KXHIGHTMIN,15.1,,,,9.2,17.7
2022-02-15,KXHIGHTMIN,28.4,,,,29.9,30.0
2022-02-16,KXHIGHTMIN,24.4,,,,24.9,27.6
2022-02-17,KXHIGHTMIN,12.8,,,,13.1,17.7
2022-02-18,KXHIGHTMIN,36.8,,,,39.8,34.4
2022-02-19,KXHIGHTMIN,23.4,,,,23.8,23.5
2022-02-20,KXHIGHTMIN,38.7,,,,46.4,43.5
2022-02-21,KXHIGHTMIN,24.0,,,,21.9,26.8
2022-02-22,KXHIGHTMIN,13.3,,,,13.6,15.9
2022-02-23,KXHIGHTMIN,8.1,,,,3.5,11.4
2022-02-24,KXHIGHTMIN,11.9,,,,8.2,11.8
2022-02-25,KXHIGHTMIN,15.2,,,,11.5,18.1
2022-02-26,KXHIGHTMIN,31.5,,,,34.4,33.2
2022-02-27,KXHIGHTMIN,29.3,,,,30.3,30.6
2022-02-28,KXHIGHTMIN,33.8,,,,39.0,43.1
2022-03-01,KXHIGHTMIN,32.9,,,,37.2,39.4
2022-03-02,KXHIGHTMIN,30.4,,,,30.4,33.2
