date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHTOKC,60.9,,,,58.2,57.6
2022-01-02,KXHIGHTOKC,32.4,,,,30.1,28.5
2022-01-03,KXHIGHTOKC,49.5,,,,43.6,53.4
2022-01-04,KXHIGHTOKC,59.2,,,,51.1,56.6
2022-01-05,KXHIGHTOKC,48.6,,,,44.2,45.3
2022-01-06,KXHIGHTOKC,28.5,,,,31.5,28.1
2022-01-07,KXHIGHTOKC,37.8,,,,33.4,37.7
2022-01-08,KXHIGHTOKC,54.2,,,,56.1,53.3
2022-01-09,KXHIGHTOKC,53.6,,,,48.2,53.5
2022-01-10,KXHIGHTOKC,52.4,,,,44.9,54.5
2022-01-11,KXHIGHTOKC,56.9,,,,51.9,60.8
2022-01-12,KXHIGHTOKC,59.5,,,,52.8,61.3
2022-01-13,KXHIGHTOKC,65.3,,,,56.8,67.3
2022-01-14,KXHIGHTOKC,63.0,,,,59.2,62.8
2022-01-15,KXHIGHTOKC,39.3,,,,41.0,38.9
2022-01-16,KXHIGHTOKC,51.9,,,,44.1,51.8
2022-01-17,KXHIGHTOKC,58.7,,,,51.7,60.5
2022-01-18,KXHIGHTOKC,66.7,,,,56.3,64.1
2022-01-19,KXHIGHTOKC,48.6,,,,45.2,43.6
2022-01-20,KXHIGHTOKC,23.9,,,,23.9,25.3
2022-01-21,KXHIGHTOKC,37.1,,,,31.6,39.6
2022-01-22,KXHIGHTOKC,48.2,,,,39.4,50.2
2022-01-23,KXHIGHTOKC,55.9,,,,49.4,58.5
2022-01-24,KXHIGHTOKC,62.8,,,,55.9,66.4
2022-01-25,KXHIGHTOKC,45.8,,,,45.4,46.3
2022-01-26,KXHIGHTOKC,38.9,,,,31.4,37.6
2022-01-27,KXHIGHTOKC,40.7,,,,40.0,39.4
2022-01-28,KXHIGHTOKC,49.1,,,,45.8,51.1
2022-01-29,KXHIGHTOKC,65.4,,,,57.0,68.0
2022-01-30,KXHIGHTOKC,62.3,,,,54.2,65.7
2022-01-31,KXHIGHTOKC,68.4,,,,60.9,71.1
2022-02-01,KXHIGHTOKC,58.5,,,,58.4,61.3
2022-02-02,KXHIGHTOKC,42.0,,,,43.0,42.2
2022-02-03,KXHIGHTOKC,17.0,,,,21.0,16.6
2022-02-04,KXHIGHTOKC,28.7,,,,28.0,32.2
2022-02-05,KXHIGHTOKC,36.4,,,,39.5,42.1
2022-02-06,KXHIGHTOKC,46.1,,,,42.5,50.3
2022-02-07,KXHIGHTOKC,55.0,,,,49.5,57.5
2022-02-08,KXHIGHTOKC,64.4,,,,56.1,65.0
2022-02-09,KXHIGHTOKC,65.4,,,,58.5,67.8
2022-02-10,KXHIGHTOKC,61.2,,,,53.5,61.1
2022-02-11,KXHIGHTOKC,62.6,,,,56.8,62.7
2022-02-12,KXHIGHTOKC,47.9,,,,46.5,47.0
2022-02-13,KXHIGHTOKC,52.7,,,,49.4,55.7
2022-02-14,KXHIGHTOKC,68.5,,,,61.2,71.2
2022-02-15,KXHIGHTOKC,65.9,,,,61.1,68.5
2022-02-16,KXHIGHTOKC,72.6,,,,65.7,73.0
2022-02-17,KXHIGHTOKC,59.6,,,,62.3,61.5
2022-02-18,KXHIGHTOKC,49.3,,,,45.2,49.7
2022-02-19,KXHIGHTOKC,60.2,,,,56.6,61.9
2022-02-20,KXHIGHTOKC,66.7,,,,61.2,69.6
2022-02-21,KXHIGHTOKC,71.9,,,,68.2,71.4
2022-02-22,KXHIGHTOKC,61.7,,,,64.7,63.8
2022-02-23,KXHIGHTOKC,21.7,,,,22.3,20.9
2022-02-24,KXHIGHTOKC,26.4,,,,23.4,22.8
2022-02-25,KXHIGHTOKC,25.5,,,,26.9,30.3
2022-02-26,KXHIGHTOKC,35.9,,,,35.4,39.1
2022-02-27,KXHIGHTOKC,53.6,,,,49.8,55.5
2022-02-28,KXHIGHTOKC,63.7,,,,59.2,67.2
2022-03-01,KXHIGHTOKC,72.3,,,,64.8,75.0
2022-03-02,KXHIGHTOKC,75.4,,,,67.7,77.2
2022-03-03,KXHIGHTOKC,77.5,,,,69.5,79.8
2022-03-04,KXHIGHTOKC,73.5,,,,65.2,74.9
2022-03-05,KXHIGHTOKC,79.2,,,,72.2,80.2
2022-03-06,KXHIGHTOKC,50.8,,,,53.4,52.5
2022-03-07,KXHIGHTOKC,40.1,,,,39.1,40.3
2022-03-08,KXHIGHTOKC,43.9,,,,41.9,43.4
2022-03-09,KXHIGHTOKC,53.6,,,,51.5,55.6
2022-03-10,KXHIGHTOKC,50.4,,,,45.4,49.9
2022-03-11,KXHIGHTOKC,36.3,,,,36.0,36.1
2022-03-12,KXHIGHTOKC,54.7,,,,50.7,56.1
2022-03-13,KXHIGHTOKC,64.2,,,,58.4,67.8
2022-03-14,KXHIGHTOKC,66.6,,,,60.7,65.5
2022-03-15,KXHIGHTOKC,64.6,,,,61.6,65.8
2022-03-16,KXHIGHTOKC,76.3,,,,70.2,79.9
2022-03-17,KXHIGHTOKC,71.8,,,,67.2,72.1
2022-03-18,KXHIGHTOKC,57.3,,,,54.6,58.2
2022-03-19,KXHIGHTOKC,70.6,,,,68.0,72.5
2022-03-20,KXHIGHTOKC,77.1,,,,72.0,79.7
2022-03-21,KXHIGHTOKC,62.6,,,,62.5,63.4
2022-03-22,KXHIGHTOKC,51.8,,,,57.7,52.7
2022-03-23,KXHIGHTOKC,51.5,,,,50.2,50.5
2022-03-24,KXHIGHTOKC,58.7,,,,57.7,61.8
2022-03-25,KXHIGHTOKC,66.4,,,,64.8,67.9
2022-03-26,KXHIGHTOKC,69.5,,,,68.2,72.9
2022-03-27,KXHIGHTOKC,72.9,,,,69.6,74.7
2022-03-28,KXHIGHTOKC,81.0,,,,77.2,84.1
2022-03-29,KXHIGHTOKC,78.3,,,,74.8,78.8
2022-03-30,KXHIGHTOKC,63.5,,,,67.8,63.4
2022-03-31,KXHIGHTOKC,56.1,,,,53.8,56.8
2022-04-01,KXHIGHTOKC,66.6,,,,63.7,69.1
2022-04-02,KXHIGHTOKC,69.6,,,,66.8,73.0
2022-04-03,KXHIGHTOKC,78.3,,,,75.5,82.6
2022-04-04,KXHIGHTOKC,61.5,,,,64.4,62.7
2022-04-05,KXHIGHTOKC,80.3,,,,79.5,83.4
2022-04-06,KXHIGHTOKC,63.7,,,,63.6,68.0
2022-04-07,KXHIGHTOKC,59.7,,,,59.0,62.4
2022-04-08,KXHIGHTOKC,58.8,,,,59.1,61.5
2022-04-09,KXHIGHTOKC,79.0,,,,78.0,84.3
2022-04-10,KXHIGHTOKC,81.0,,,,79.9,84.0
2022-04-11,KXHIGHTOKC,71.6,,,,67.6,72.7
2022-04-12,KXHIGHTOKC,83.1,,,,78.9,84.5
2022-04-13,KXHIGHTOKC,66.9,,,,71.8,70.0
2022-04-14,KXHIGHTOKC,66.4,,,,66.5,70.2
2022-04-15,KXHIGHTOKC,86.9,,,,83.0,87.7
2022-04-16,KXHIGHTOKC,62.6,,,,68.2,72.4
2022-04-17,KXHIGHTOKC,65.0,,,,61.6,67.5
2022-04-18,KXHIGHTOKC,62.6,,,,61.3,65.9
2022-04-19,KXHIGHTOKC,69.1,,,,67.0,70.0
2022-04-20,KXHIGHTOKC,90.2,,,,82.1,93.6
2022-04-21,KXHIGHTOKC,76.8,,,,77.4,83.6
2022-04-22,KXHIGHTOKC,77.2,,,,76.3,79.4
2022-04-23,KXHIGHTOKC,75.8,,,,74.2,79.5
2022-04-24,KXHIGHTOKC,65.0,,,,70.9,67.2
2022-04-25,KXHIGHTOKC,64.1,,,,61.7,65.9
2022-04-26,KXHIGHTOKC,68.2,,,,68.8,71.8
2022-04-27,KXHIGHTOKC,72.5,,,,72.2,75.5
2022-04-28,KXHIGHTOKC,74.7,,,,73.5,77.6
2022-04-29,KXHIGHTOKC,79.0,,,,78.5,83.5
2022-04-30,KXHIGHTOKC,73.8,,,,73.6,76.2
2022-05-01,KXHIGHTOKC,75.9,,,,76.6,77.8
2022-05-02,KXHIGHTOKC,79.4,,,,78.7,77.2
2022-05-03,KXHIGHTOKC,61.5,,,,60.5,61.0
2022-05-04,KXHIGHTOKC,72.7,,,,72.4,66.4
2022-05-05,KXHIGHTOKC,61.2,,,,69.3,61.0
2022-05-06,KXHIGHTOKC,74.0,,,,73.2,74.7
2022-05-07,KXHIGHTOKC,80.8,,,,81.2,83.0
