date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHTPHX,55.7,,,,54.3,56.8
2022-01-02,KXHIGHTPHX,57.9,,,,57.1,59.4
2022-01-03,KXHIGHTPHX,62.1,,,,60.4,66.0
2022-01-04,KXHIGHTPHX,62.4,,,,61.2,65.5
2022-01-05,KXHIGHTPHX,63.3,,,,62.0,65.9
2022-01-06,KXHIGHTPHX,64.7,,,,64.1,66.4
2022-01-07,KXHIGHTPHX,67.5,,,,67.0,70.8
2022-01-08,KXHIGHTPHX,65.4,,,,64.9,67.1
2022-01-09,KXHIGHTPHX,70.7,,,,69.5,73.8
2022-01-10,KXHIGHTPHX,72.1,,,,70.1,73.4
2022-01-11,KXHIGHTPHX,69.0,,,,69.3,71.8
2022-01-12,KXHIGHTPHX,66.4,,,,69.0,69.4
2022-01-13,KXHIGHTPHX,68.2,,,,68.2,70.9
2022-01-14,KXHIGHTPHX,68.7,,,,68.4,70.1
2022-01-15,KXHIGHTPHX,69.2,,,,69.8,70.8
2022-01-16,KXHIGHTPHX,68.9,,,,69.9,72.9
2022-01-17,KXHIGHTPHX,68.1,,,,68.9,70.9
2022-01-18,KXHIGHTPHX,68.0,,,,66.7,69.7
2022-01-19,KXHIGHTPHX,66.8,,,,65.7,69.1
2022-01-20,KXHIGHTPHX,69.4,,,,69.1,71.1
2022-01-21,KXHIGHTPHX,66.9,,,,67.0,69.7
2022-01-22,KXHIGHTPHX,65.7,,,,67.1,68.5
2022-01-23,KXHIGHTPHX,67.5,,,,67.9,70.1
2022-01-24,KXHIGHTPHX,66.0,,,,66.4,68.0
2022-01-25,KXHIGHTPHX,66.6,,,,66.4,68.9
2022-01-26,KXHIGHTPHX,65.3,,,,65.4,67.5
2022-01-27,KXHIGHTPHX,66.3,,,,66.9,67.2
2022-01-28,KXHIGHTPHX,69.5,,,,69.6,70.9
2022-01-29,KXHIGHTPHX,70.2,,,,71.6,72.5
2022-01-30,KXHIGHTPHX,69.9,,,,70.0,73.0
2022-01-31,KXHIGHTPHX,67.9,,,,68.2,70.0
2022-02-01,KXHIGHTPHX,66.7,,,,66.8,67.8
2022-02-02,KXHIGHTPHX,62.5,,,,59.7,60.1
2022-02-03,KXHIGHTPHX,56.4,,,,56.5,57.5
2022-02-04,KXHIGHTPHX,63.9,,,,63.3,63.9
2022-02-05,KXHIGHTPHX,63.8,,,,66.2,66.2
2022-02-06,KXHIGHTPHX,71.5,,,,70.5,71.8
2022-02-07,KXHIGHTPHX,68.5,,,,70.3,71.5
2022-02-08,KXHIGHTPHX,71.6,,,,74.6,74.5
2022-02-09,KXHIGHTPHX,76.0,,,,76.3,79.0
2022-02-10,KXHIGHTPHX,77.7,,,,78.5,81.7
2022-02-11,KXHIGHTPHX,76.6,,,,78.0,79.9
2022-02-12,KXHIGHTPHX,79.2,,,,79.6,80.6
2022-02-13,KXHIGHTPHX,78.1,,,,79.7,81.4
2022-02-14,KXHIGHTPHX,77.4,,,,78.4,81.2
2022-02-15,KXHIGHTPHX,76.1,,,,75.6,78.7
2022-02-16,KXHIGHTPHX,61.9,,,,59.2,62.3
2022-02-17,KXHIGHTPHX,65.0,,,,64.7,66.8
2022-02-18,KXHIGHTPHX,68.3,,,,69.1,70.8
2022-02-19,KXHIGHTPHX,74.7,,,,76.6,78.0
2022-02-20,KXHIGHTPHX,76.2,,,,75.6,79.3
2022-02-21,KXHIGHTPHX,68.8,,,,67.8,70.2
2022-02-22,KXHIGHTPHX,64.7,,,,62.4,64.6
2022-02-23,KXHIGHTPHX,56.6,,,,57.0,55.0
2022-02-24,KXHIGHTPHX,55.5,,,,54.5,57.4
2022-02-25,KXHIGHTPHX,62.6,,,,62.5,65.1
2022-02-26,KXHIGHTPHX,66.3,,,,67.3,68.4
2022-02-27,KXHIGHTPHX,69.3,,,,71.6,73.1
2022-02-28,KXHIGHTPHX,78.0,,,,79.3,81.0
2022-03-01,KXHIGHTPHX,80.7,,,,81.4,83.3
2022-03-02,KXHIGHTPHX,82.8,,,,83.9,86.5
2022-03-03,KXHIGHTPHX,84.1,,,,83.3,87.2
2022-03-04,KXHIGHTPHX,73.0,,,,68.5,76.1
2022-03-05,KXHIGHTPHX,68.9,,,,66.4,69.7
2022-03-06,KXHIGHTPHX,61.2,,,,59.9,62.7
2022-03-07,KXHIGHTPHX,66.5,,,,65.3,67.6
2022-03-08,KXHIGHTPHX,63.8,,,,63.9,65.6
2022-03-09,KXHIGHTPHX,69.3,,,,69.0,70.9
2022-03-10,KXHIGHTPHX,70.1,,,,69.8,71.0
2022-03-11,KXHIGHTPHX,67.7,,,,68.0,69.4
2022-03-12,KXHIGHTPHX,75.0,,,,75.3,78.2
2022-03-13,KXHIGHTPHX,77.6,,,,77.7,79.0
2022-03-14,KXHIGHTPHX,78.5,,,,78.6,81.8
2022-03-15,KXHIGHTPHX,83.0,,,,83.5,86.2
2022-03-16,KXHIGHTPHX,82.0,,,,81.4,83.5
2022-03-17,KXHIGHTPHX,77.8,,,,77.2,79.6
2022-03-18,KXHIGHTPHX,80.0,,,,79.8,82.8
