date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHTSATX,80.8,,,,76.4,78.5
2022-01-02,KXHIGHTSATX,53.0,,,,60.7,63.8
2022-01-03,KXHIGHTSATX,54.4,,,,51.5,56.7
2022-01-04,KXHIGHTSATX,64.9,,,,59.0,69.0
2022-01-05,KXHIGHTSATX,74.7,,,,68.1,79.2
2022-01-06,KXHIGHTSATX,67.2,,,,67.9,68.8
2022-01-07,KXHIGHTSATX,51.8,,,,48.6,44.6
2022-01-08,KXHIGHTSATX,64.5,,,,60.8,59.8
2022-01-09,KXHIGHTSATX,67.5,,,,66.9,69.8
2022-01-10,KXHIGHTSATX,58.3,,,,55.0,60.8
2022-01-11,KXHIGHTSATX,53.1,,,,52.2,52.4
2022-01-12,KXHIGHTSATX,62.0,,,,58.2,65.9
2022-01-13,KXHIGHTSATX,73.7,,,,68.3,77.7
2022-01-14,KXHIGHTSATX,74.8,,,,69.7,78.0
2022-01-15,KXHIGHTSATX,60.9,,,,59.6,60.9
2022-01-16,KXHIGHTSATX,64.5,,,,59.8,66.2
2022-01-17,KXHIGHTSATX,68.2,,,,63.9,71.5
2022-01-18,KXHIGHTSATX,73.4,,,,66.2,76.8
2022-01-19,KXHIGHTSATX,74.1,,,,70.2,79.0
2022-01-20,KXHIGHTSATX,51.4,,,,53.8,56.0
2022-01-21,KXHIGHTSATX,50.3,,,,47.5,53.2
2022-01-22,KXHIGHTSATX,55.1,,,,50.4,55.8
2022-01-23,KXHIGHTSATX,52.1,,,,53.8,58.2
2022-01-24,KXHIGHTSATX,54.1,,,,57.2,54.5
2022-01-25,KXHIGHTSATX,61.6,,,,57.0,58.3
2022-01-26,KXHIGHTSATX,57.7,,,,53.2,56.3
2022-01-27,KXHIGHTSATX,63.4,,,,57.2,62.9
2022-01-28,KXHIGHTSATX,58.2,,,,56.1,60.7
2022-01-29,KXHIGHTSATX,63.4,,,,60.1,66.3
2022-01-30,KXHIGHTSATX,66.6,,,,62.6,70.6
2022-01-31,KXHIGHTSATX,58.5,,,,64.6,60.8
2022-02-01,KXHIGHTSATX,70.0,,,,65.7,74.9
2022-02-02,KXHIGHTSATX,60.2,,,,63.1,63.3
2022-02-03,KXHIGHTSATX,40.7,,,,40.2,40.5
2022-02-04,KXHIGHTSATX,38.4,,,,39.8,43.5
2022-02-05,KXHIGHTSATX,49.5,,,,47.0,54.5
2022-02-06,KXHIGHTSATX,56.8,,,,55.4,62.7
2022-02-07,KXHIGHTSATX,60.6,,,,58.4,63.7
2022-02-08,KXHIGHTSATX,64.0,,,,61.7,67.6
2022-02-09,KXHIGHTSATX,69.2,,,,66.1,73.6
2022-02-10,KXHIGHTSATX,68.9,,,,66.4,73.5
2022-02-11,KXHIGHTSATX,73.8,,,,69.5,77.4
2022-02-12,KXHIGHTSATX,57.6,,,,61.1,60.5
2022-02-13,KXHIGHTSATX,63.1,,,,60.7,65.5
2022-02-14,KXHIGHTSATX,65.6,,,,63.4,70.2
2022-02-15,KXHIGHTSATX,72.8,,,,68.3,75.7
2022-02-16,KXHIGHTSATX,80.6,,,,74.2,81.6
2022-02-17,KXHIGHTSATX,73.2,,,,71.4,76.7
2022-02-18,KXHIGHTSATX,58.8,,,,59.1,63.2
2022-02-19,KXHIGHTSATX,64.3,,,,61.3,67.5
2022-02-20,KXHIGHTSATX,71.1,,,,67.6,74.1
2022-02-21,KXHIGHTSATX,85.4,,,,78.4,85.8
2022-02-22,KXHIGHTSATX,82.0,,,,80.2,85.5
2022-02-23,KXHIGHTSATX,55.8,,,,60.7,59.4
2022-02-24,KXHIGHTSATX,41.6,,,,42.8,40.4
2022-02-25,KXHIGHTSATX,38.7,,,,42.1,40.8
2022-02-26,KXHIGHTSATX,40.3,,,,43.9,42.3
2022-02-27,KXHIGHTSATX,62.1,,,,58.8,63.5
2022-02-28,KXHIGHTSATX,66.0,,,,63.3,68.9
2022-03-01,KXHIGHTSATX,69.6,,,,66.5,74.3
2022-03-02,KXHIGHTSATX,71.8,,,,68.3,75.8
2022-03-03,KXHIGHTSATX,76.5,,,,72.7,79.7
2022-03-04,KXHIGHTSATX,78.7,,,,73.3,82.0
2022-03-05,KXHIGHTSATX,80.2,,,,74.3,80.9
2022-03-06,KXHIGHTSATX,82.0,,,,77.7,82.4
2022-03-07,KXHIGHTSATX,68.7,,,,71.6,72.6
2022-03-08,KXHIGHTSATX,59.4,,,,55.3,61.9
2022-03-09,KXHIGHTSATX,63.0,,,,60.0,65.5
2022-03-10,KXHIGHTSATX,72.5,,,,67.9,75.5
2022-03-11,KXHIGHTSATX,59.9,,,,63.0,65.1
2022-03-12,KXHIGHTSATX,55.8,,,,54.4,59.2
2022-03-13,KXHIGHTSATX,66.7,,,,63.9,69.5
2022-03-14,KXHIGHTSATX,79.7,,,,76.0,84.1
2022-03-15,KXHIGHTSATX,76.6,,,,75.2,80.4
2022-03-16,KXHIGHTSATX,80.5,,,,78.3,85.2
2022-03-17,KXHIGHTSATX,82.3,,,,77.7,81.8
2022-03-18,KXHIGHTSATX,72.4,,,,71.5,75.6
2022-03-19,KXHIGHTSATX,77.8,,,,74.2,81.5
2022-03-20,KXHIGHTSATX,78.8,,,,73.8,80.1
2022-03-21,KXHIGHTSATX,85.6,,,,83.6,92.0
2022-03-22,KXHIGHTSATX,68.0,,,,65.8,70.9
2022-03-23,KXHIGHTSATX,68.9,,,,69.0,70.6
2022-03-24,KXHIGHTSATX,77.4,,,,77.6,80.7
2022-03-25,KXHIGHTSATX,85.3,,,,84.5,89.4
2022-03-26,KXHIGHTSATX,88.9,,,,86.6,92.8
2022-03-27,KXHIGHTSATX,85.5,,,,83.2,88.7
2022-03-28,KXHIGHTSATX,85.6,,,,82.2,87.8
2022-03-29,KXHIGHTSATX,87.4,,,,80.5,85.4
2022-03-30,KXHIGHTSATX,81.5,,,,80.8,85.1
2022-03-31,KXHIGHTSATX,80.6,,,,77.8,82.6
2022-04-01,KXHIGHTSATX,84.0,,,,80.0,85.3
2022-04-02,KXHIGHTSATX,88.9,,,,85.9,92.1
2022-04-03,KXHIGHTSATX,86.5,,,,82.5,88.2
2022-04-04,KXHIGHTSATX,82.9,,,,77.1,84.2
2022-04-05,KXHIGHTSATX,95.9,,,,86.2,95.2
2022-04-06,KXHIGHTSATX,80.4,,,,76.9,83.2
2022-04-07,KXHIGHTSATX,77.4,,,,76.0,79.7
2022-04-08,KXHIGHTSATX,80.1,,,,79.1,81.8
2022-04-09,KXHIGHTSATX,87.3,,,,83.8,89.1
2022-04-10,KXHIGHTSATX,93.0,,,,82.9,93.1
2022-04-11,KXHIGHTSATX,82.0,,,,82.0,81.5
2022-04-12,KXHIGHTSATX,97.7,,,,81.8,95.7
2022-04-13,KXHIGHTSATX,95.9,,,,90.7,98.1
2022-04-14,KXHIGHTSATX,85.3,,,,79.8,87.2
2022-04-15,KXHIGHTSATX,85.3,,,,79.8,84.4
2022-04-16,KXHIGHTSATX,84.0,,,,85.2,90.4
