date,ticker,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus
2022-01-01,KXHIGHTSEA,32.0,,,,34.4,32.8
2022-01-02,KXHIGHTSEA,38.9,,,,43.3,38.2
2022-01-03,KXHIGHTSEA,38.5,,,,39.1,38.5
2022-01-04,KXHIGHTSEA,39.5,,,,40.6,40.0
2022-01-05,KXHIGHTSEA,37.9,,,,34.9,36.9
2022-01-06,KXHIGHTSEA,49.3,,,,50.9,49.1
2022-01-07,KXHIGHTSEA,48.6,,,,47.5,46.8
2022-01-08,KXHIGHTSEA,41.8,,,,43.5,43.3
2022-01-09,KXHIGHTSEA,47.6,,,,43.2,47.7
2022-01-10,KXHIGHTSEA,44.3,,,,44.9,43.4
2022-01-11,KXHIGHTSEA,53.5,,,,51.9,50.7
2022-01-12,KXHIGHTSEA,56.1,,,,56.1,54.7
2022-01-13,KXHIGHTSEA,51.1,,,,51.8,52.9
2022-01-14,KXHIGHTSEA,49.9,,,,49.0,49.4
2022-01-15,KXHIGHTSEA,48.4,,,,47.3,43.2
2022-01-16,KXHIGHTSEA,46.3,,,,46.0,42.1
2022-01-17,KXHIGHTSEA,48.3,,,,48.2,45.6
2022-01-18,KXHIGHTSEA,45.2,,,,48.8,46.2
2022-01-19,KXHIGHTSEA,47.1,,,,49.4,48.0
2022-01-20,KXHIGHTSEA,51.2,,,,51.5,51.1
2022-01-21,KXHIGHTSEA,48.9,,,,47.0,46.7
2022-01-22,KXHIGHTSEA,44.7,,,,41.8,43.8
2022-01-23,KXHIGHTSEA,47.5,,,,47.4,39.5
2022-01-24,KXHIGHTSEA,45.6,,,,46.3,39.0
2022-01-25,KXHIGHTSEA,46.2,,,,45.5,41.3
2022-01-26,KXHIGHTSEA,45.4,,,,45.8,39.0
2022-01-27,KXHIGHTSEA,49.7,,,,49.1,45.6
2022-01-28,KXHIGHTSEA,46.4,,,,47.0,48.2
2022-01-29,KXHIGHTSEA,47.6,,,,47.9,49.3
2022-01-30,KXHIGHTSEA,50.7,,,,48.1,47.4
2022-01-31,KXHIGHTSEA,45.3,,,,45.0,45.2
2022-02-01,KXHIGHTSEA,43.5,,,,43.5,41.8
2022-02-02,KXHIGHTSEA,40.3,,,,43.0,39.9
2022-02-03,KXHIGHTSEA,44.2,,,,48.6,45.8
2022-02-04,KXHIGHTSEA,49.7,,,,46.9,46.4
2022-02-05,KXHIGHTSEA,49.4,,,,48.3,46.6
2022-02-06,KXHIGHTSEA,53.0,,,,53.3,47.8
2022-02-07,KXHIGHTSEA,51.2,,,,51.7,50.2
2022-02-08,KXHIGHTSEA,49.7,,,,47.9,47.6
2022-02-09,KXHIGHTSEA,52.1,,,,53.3,52.7
2022-02-10,KXHIGHTSEA,49.2,,,,48.1,48.3
2022-02-11,KXHIGHTSEA,50.4,,,,50.3,49.5
2022-02-12,KXHIGHTSEA,52.8,,,,54.2,53.4
2022-02-13,KXHIGHTSEA,56.5,,,,56.8,55.0
2022-02-14,KXHIGHTSEA,47.8,,,,48.3,46.8
2022-02-15,KXHIGHTSEA,49.8,,,,46.9,47.5
2022-02-16,KXHIGHTSEA,49.5,,,,49.6,49.3
2022-02-17,KXHIGHTSEA,45.6,,,,48.6,45.2
2022-02-18,KXHIGHTSEA,53.3,,,,50.5,48.6
2022-02-19,KXHIGHTSEA,46.0,,,,47.4,45.5
2022-02-20,KXHIGHTSEA,46.1,,,,44.6,46.1
2022-02-21,KXHIGHTSEA,41.7,,,,43.2,41.4
2022-02-22,KXHIGHTSEA,35.8,,,,37.4,34.1
2022-02-23,KXHIGHTSEA,37.2,,,,36.1,35.9
2022-02-24,KXHIGHTSEA,41.5,,,,40.3,38.7
2022-02-25,KXHIGHTSEA,46.9,,,,45.8,45.5
2022-02-26,KXHIGHTSEA,50.9,,,,47.9,48.5
2022-02-27,KXHIGHTSEA,50.1,,,,50.5,47.6
2022-02-28,KXHIGHTSEA,51.9,,,,55.1,52.4
2022-03-01,KXHIGHTSEA,55.3,,,,57.1,56.8
2022-03-02,KXHIGHTSEA,52.1,,,,53.8,51.0
2022-03-03,KXHIGHTSEA,47.9,,,,48.8,47.9
2022-03-04,KXHIGHTSEA,48.3,,,,48.6,47.2
2022-03-05,KXHIGHTSEA,49.3,,,,50.7,49.4
2022-03-06,KXHIGHTSEA,49.9,,,,53.3,49.5
2022-03-07,KXHIGHTSEA,48.3,,,,48.8,46.5
2022-03-08,KXHIGHTSEA,46.9,,,,48.0,47.6
